"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"2.102.964.354","BAET","Onbepaald","Indéterminé","****","Commerce ambulant","Commerce ambulant","Marches publics","Marches publics","","","",
"2.102.964.651","BAET",,,"1070","Anderlecht","Anderlecht","Sylvain Dupuislaan","Boulevard Sylvain Dupuis","433","","",
"2.102.964.750","BAET",,,"1160","Oudergem","Auderghem","Vorstlaan","Boulevard du Souverain","240","","",
"2.102.965.047","BAET",,,"1500","Halle","Halle","Basiliekstraat","Basiliekstraat","120","","",
"2.102.965.146","BAET",,,"1050","Elsene","Ixelles","Boondaalse Steenweg","Chaussée de Boondael","423","","",
"2.102.965.245","BAET",,,"1090","Jette","Jette","Jetse Laan","Avenue de Jette","214","","",
"2.102.965.344","BAET",,,"1030","Schaarbeek","Schaerbeek","Olmstraat","Rue de l'Orme","14","","",
"2.102.965.443","BAET",,,"1060","Sint-Gillis (bij-Brussel)","Saint-Gilles","Gulden-Vlieslaan","Avenue de la Toison d'Or","40","","",
"2.102.965.542","BAET",,,"1190","Vorst","Forest","Rodenbachstraat","Rue Rodenbach","133","","",
"2.102.965.641","BAET",,,"1800","Vilvoorde","Vilvoorde","Portaelsplein","Portaelsplein","68","","",
"2.102.965.740","BAET",,,"1200","Sint-Lambrechts-Woluwe","Woluwe-Saint-Lambert","Sint-Lambertusstraat","Rue Saint-Lambert","202","","",
"2.102.965.839","BAET",,,"9300","Aalst","Aalst","Grote Markt","Grote Markt","25","","AALST BIZZ CORNER",
"2.102.965.938","BAET",,,"9400","Ninove","Ninove","Graanmarkt","Graanmarkt","38","","",
"2.102.966.037","BAET",,,"2600","Antwerpen","Antwerpen","Roderveldlaan","Roderveldlaan","2","","",
"2.102.966.235","BAET",,,"2000","Antwerpen","Antwerpen","Lange Nieuwstraat","Lange Nieuwstraat","106","","",
"2.102.966.532","BAET",,,"2100","Antwerpen","Antwerpen","Van den Hautelei","Van den Hautelei","171","","",
"2.102.966.631","BAET",,,"2950","Kapellen","Kapellen","Antwerpsesteenweg","Antwerpsesteenweg","19","","",
"2.102.966.928","BAET",,,"2610","Antwerpen","Antwerpen","Bist","Bist","36","","",
"2.102.967.027","BAET",,,"2110","Wijnegem","Wijnegem","Turnhoutsebaan","Turnhoutsebaan","5","","",
"2.102.967.225","BAET",,,"2640","Mortsel","Mortsel","Statielei","Statielei","70","","",
"2.102.967.423","BAET",,,"2850","Boom","Boom","Antwerpsestraat","Antwerpsestraat","11","","",
"2.102.967.522","BAET",,,"6700","Arlon","Arlon","Avenue Jean-Baptiste-Nothomb","Avenue Jean-Baptiste-Nothomb","40","","",
"2.102.967.621","BAET",,,"6700","Arlon","Arlon","Rue Pietro-Ferrero","Rue Pietro-Ferrero","1","","",
"2.102.968.017","BAET",,,"8200","Brugge","Brugge","Rijselstraat","Rijselstraat","1","","",
"2.102.968.215","BAET",,,"8300","Knokke-Heist","Knokke-Heist","Lippenslaan","Lippenslaan","176","","",
"2.102.968.314","BAET",,,"8700","Tielt","Tielt","Kortrijkstraat","Kortrijkstraat","29","","",
"2.102.968.413","BAET",,,"6000","Charleroi","Charleroi","Rue de la Montagne","Rue de la Montagne","56","","",
"2.102.968.710","BAET",,,"6001","Charleroi","Charleroi","Avenue Eugène Mascaux","Avenue Eugène Mascaux","223","","",
"2.102.969.007","BAET",,,"6200","Châtelet","Châtelet","Rue du Trieu-Kaisin","Rue du Trieu-Kaisin","11","","",
"2.102.969.205","BAET",,,"9200","Dendermonde","Dendermonde","Oude Vest (DEN)","Oude Vest (DEN)","5/7","","",
"2.102.969.403","BAET",,,"5500","Dinant","Dinant","Rue Saint-Jacques","Rue Saint-Jacques","337","","",
"2.102.969.502","BAET",,,"9000","Gent","Gent","Keizer Karelstraat","Keizer Karelstraat","1","","",
"2.102.969.601","BAET",,,"9800","Deinze","Deinze","Tolpoortstraat","Tolpoortstraat","73","","91DTOA",
"2.102.969.797","BAET",,,"9900","Eeklo","Eeklo","Stationsstraat","Stationsstraat","36","","",
"2.102.969.896","BAET",,,"9000","Gent","Gent","Kortrijksesteenweg","Kortrijksesteenweg","543","","",
"2.102.969.995","BAET",,,"9000","Gent","Gent","Kouter","Kouter","1","","",
"2.102.970.094","BAET",,,"3500","Hasselt","Hasselt","Demerstraat","Demerstraat","65","","",
"2.102.970.193","BAET",,,"3910","Neerpelt","Neerpelt","Kerkstraat","Kerkstraat","22","","",
"2.102.970.292","BAET",,,"3800","Sint-Truiden","Sint-Truiden","Luikerstraat","Luikerstraat","23","","11STLA",
"2.102.970.490","BAET",,,"4500","Huy","Huy","Grand'Place","Grand'Place","26","","",
"2.102.970.589","BAET",,,"8900","Ieper","Ieper","Menenstraat","Menenstraat","14","","",
"2.102.970.688","BAET",,,"8500","Kortrijk","Kortrijk","Steenpoort(Kor)","Steenpoort(Kor)","2","","",
"2.102.970.787","BAET",,,"8800","Roeselare","Roeselare","Ooststraat","Ooststraat","23","","",
"2.102.970.985","BAET",,,"8500","Kortrijk","Kortrijk","Ringlaan(Kor)","Ringlaan(Kor)","34","","",
"2.102.971.183","BAET",,,"8790","Waregem","Waregem","Markt","Markt","21","","",
"2.102.971.282","BAET",,,"3000","Leuven","Leuven","Vismarkt","Vismarkt","17","","",
"2.102.971.381","BAET",,,"3200","Aarschot","Aarschot","Grote Markt","Grote Markt","23","","",
"2.102.971.480","BAET",,,"3290","Diest","Diest","Sint-Jan Berchmansstraat","Sint-Jan Berchmansstraat","3","","",
"2.102.971.579","BAET",,,"3000","Leuven","Leuven","Bondgenotenlaan","Bondgenotenlaan","55","","",
"2.102.971.777","BAET",,,"4101","Seraing","Seraing","Rue des Rhieux","Rue des Rhieux","1","","",
"2.102.971.876","BAET",,,"4000","Liège","Liège","Rue de la Sirène","Rue de la Sirène","7","","",
"2.102.971.975","BAET",,,"4020","Liège","Liège","Rue du Nord-Belge","Rue du Nord-Belge","6","","",
"2.102.972.173","BAET",,,"4000","Liège","Liège","Chaussée de Tongres","Chaussée de Tongres","269","","",
"2.102.972.272","BAET",,,"4020","Liège","Liège","Quai des Vennes","Quai des Vennes","1","","",
"2.102.972.470","BAET",,,"4300","Waremme","Waremme","Avenue Reine Astrid","Avenue Reine Astrid","10","","",
"2.102.972.668","BAET",,,"6900","Marche-en-Famenne","Marche-en-Famenne","Marche, Rue de la Pirire","Marche, Rue de la Pirire","3","","",
"2.102.972.866","BAET",,,"2500","Lier","Lier","Grote Markt","Grote Markt","9","","",
"2.102.972.965","BAET",,,"2800","Mechelen","Mechelen","Stationsstraat","Stationsstraat","58","","",
"2.102.973.064","BAET",,,"2800","Mechelen","Mechelen","Bruul","Bruul","13","","",
"2.102.973.262","BAET",,,"7100","La Louvière","La Louvière","Rue de la Franco-Belge(L.L)","Rue de la Franco-Belge(L.L)","28","","",
"2.102.973.361","BAET",,,"7000","Mons","Mons","Avenue des Bassins","Avenue des Bassins","64","","",
"2.102.973.460","BAET",,,"7000","Mons","Mons","Rue des Fossés","Rue des Fossés","7","","",
"2.102.973.559","BAET",,,"5000","Namur","Namur","Rue Marie Henriette","Rue Marie Henriette","60","","",
"2.102.973.658","BAET",,,"5060","Sambreville","Sambreville","Rue Saint Jean-Baptiste(TAM)","Rue Saint Jean-Baptiste(TAM)","1","","",
"2.102.973.757","BAET",,,"5030","Gembloux","Gembloux","Grand'Rue","Grand'Rue","18","","",
"2.102.973.856","BAET",,,"5100","Namur","Namur","Rue du Pont des Ardennes(JB)","Rue du Pont des Ardennes(JB)","6","14","",
"2.102.973.955","BAET",,,"5000","Namur","Namur","Rue de l'Ange","Rue de l'Ange","74","","",
"2.102.974.252","BAET",,,"6800","Libramont-Chevigny","Libramont-Chevigny","Libramont,Rue des Alliés","Libramont,Rue des Alliés","1","","",
"2.102.974.351","BAET",,,"1400","Nivelles","Nivelles","Rue de Namur","Rue de Namur","55/A","","67NNAA",
"2.102.974.549","BAET",,,"1300","Wavre","Wavre","Rue de la Limite","Rue de la Limite","2","","",
"2.102.974.648","BAET",,,"1420","Braine-l'Alleud","Braine-l'Alleud","Avenue Albert 1er","Avenue Albert 1er","117","","",
"2.102.974.846","BAET",,,"1400","Nivelles","Nivelles","Rue de la Technique","Rue de la Technique","11","","",
"2.102.974.945","BAET",,,"1410","La Hulpe","La Hulpe","Chaussée de Bruxelles","Chaussée de Bruxelles","219A","","",
"2.102.975.143","BAET",,,"9700","Oudenaarde","Oudenaarde","Markt","Markt","13","","",
"2.102.975.242","BAET",,,"9100","Sint-Niklaas","Sint-Niklaas","Passtraat","Passtraat","1C","","",
"2.102.975.341","BAET",,,"9160","Lokeren","Lokeren","Markt","Markt","56","","",
"2.102.975.440","BAET",,,"9100","Sint-Niklaas","Sint-Niklaas","Stationsstraat","Stationsstraat","36","","",
"2.102.975.539","BAET",,,"3600","Genk","Genk","Europalaan","Europalaan","27","","",
"2.102.975.737","BAET",,,"3600","Genk","Genk","Sint-Martinusplein","Sint-Martinusplein","25","","",
"2.102.975.836","BAET",,,"3700","Tongeren","Tongeren","Maastrichterstraat","Maastrichterstraat","94","","",
"2.102.975.935","BAET",,,"7500","Tournai","Tournai","Boulevard des Nerviens(TOU)","Boulevard des Nerviens(TOU)","1","","",
"2.102.976.034","BAET",,,"7800","Ath","Ath","Rue aux Gâdes","Rue aux Gâdes","10","","",
"2.102.976.133","BAET",,,"7700","Mouscron","Mouscron","Pater Damiaanstraat","Rue Père Damien","8","03","",
"2.102.976.232","BAET",,,"7500","Tournai","Tournai","Boulevard Walter de Marvis(TOU)","Boulevard Walter de Marvis(TOU)","22","","",
"2.102.976.430","BAET",,,"2300","Turnhout","Turnhout","Parklaan","Parklaan","34","","",
"2.102.976.529","BAET",,,"2200","Herentals","Herentals","Zandstraat(HRT)","Zandstraat(HRT)","27","","",
"2.102.976.628","BAET",,,"2400","Mol","Mol","Statiestraat","Statiestraat","38 A","","",
"2.102.976.727","BAET",,,"2300","Turnhout","Turnhout","Victoriestraat","Victoriestraat","14","","",
"2.102.976.925","BAET",,,"4800","Verviers","Verviers","Crapaurue","Crapaurue","126","","",
"2.102.977.024","BAET",,,"4960","Malmedy","Malmedy","Place du Châtelet","Place du Châtelet","1","","",
"2.102.977.123","BAET",,,"8630","Veurne","Veurne","Pannestraat","Pannestraat","1","","",
"2.102.977.222","BAET",,,"4700","Eupen","Eupen","Rue de la Montagne","Rue de la Montagne","14","","",
"2.133.609.525","BAET",,,"1300","Wavre","Wavre","Place Cardinal Mercier","Place Cardinal Mercier","1","","",
"2.133.610.020","BAET",,,"7000","Mons","Mons","Rue de la Chaussée","Rue de la Chaussée","42","","",
"2.133.610.812","BAET",,,"8000","Brugge","Brugge","Noordzandstraat","Noordzandstraat","60","","",
"2.133.611.208","BAET",,,"9000","Gent","Gent","Veldstraat","Veldstraat","9-11","","",
"2.133.611.703","BAET",,,"9400","Ninove","Ninove","Vuurkruisersstraat","Vuurkruisersstraat","10","5","",
"2.133.612.196","BAET",,,"1040","Etterbeek","Etterbeek","Tongerenstraat","Rue des Tongres","63","65","",
"2.133.612.394","BAET",,,"1000","Brussel","Bruxelles","Munt","Place de la Monnaie","9","","",
"2.133.612.790","BAET",,,"1082","Sint-Agatha-Berchem","Berchem-Sainte-Agathe","Keizer Karellaan","Avenue Charles-Quint","420","","",
"2.133.613.087","BAET",,,"1180","Ukkel","Uccle","Xavier De Buestraat","Rue Xavier De Bue","52","","",
"2.134.034.246","BAET",,,"8400","Oostende","Oostende","Marie-Joséplein","Marie-Joséplein","12","","Res. Bouchery",
"2.153.240.048","BAET",,,"1070","Anderlecht","Anderlecht","Tweestationsstraat","Rue des Deux Gares","84","","",
"2.153.240.147","BAET",,,"1080","Sint-Jans-Molenbeek","Molenbeek-Saint-Jean","Birminghamstraat","Rue de Birmingham","66","","",
"2.153.240.642","BAET",,,"1140","Evere","Evere","Carlistraat","Rue Carli","4","","",
"2.153.240.741","BAET",,,"1500","Halle","Halle","Jacminstraat (Jean)","Jacminstraat (Jean)","14","","",
"2.153.240.840","BAET",,,"1050","Brussel","Bruxelles","Borrensstraat","Rue Borrens","16","","",
"2.153.240.939","BAET",,,"1800","Vilvoorde","Vilvoorde","Leuvensestraat","Leuvensestraat","7-9","","",
"2.153.241.137","BAET",,,"1000","Brussel","Bruxelles","Lebeaustraat","Rue Lebeau","2","","",
"2.153.241.434","BAET",,,"2600","Antwerpen","Antwerpen","Uitbreidingstraat","Uitbreidingstraat","325","","",
"2.153.241.533","BAET",,,"2500","Lier","Lier","Bollaarstraat","Bollaarstraat","8A+B","","",
"2.153.241.632","BAET",,,"2930","Brasschaat","Brasschaat","Leopoldslei","Leopoldslei","13","","",
"2.153.241.731","BAET",,,"2040","Antwerpen","Antwerpen","Antwerpsebaan","Antwerpsebaan","105","","",
"2.153.241.830","BAET",,,"2640","Mortsel","Mortsel","Hendrik Consciencelaan","Hendrik Consciencelaan","62","","",
"2.153.241.929","BAET",,,"3500","Hasselt","Hasselt","Paardsdemerstraat","Paardsdemerstraat","8-10","","",
"2.153.242.127","BAET",,,"3500","Hasselt","Hasselt","Hendrik van Veldekesingel","Hendrik van Veldekesingel","39","","",
"2.153.242.226","BAET",,,"3900","Overpelt","Overpelt","Koning Albertlaan","Koning Albertlaan","1","","",
"2.153.242.325","BAET",,,"3800","Sint-Truiden","Sint-Truiden","Rijschoolstraat","Rijschoolstraat","49","","",
"2.153.242.424","BAET",,,"3290","Diest","Diest","Ferdinand Allenstraat","Ferdinand Allenstraat","38","","",
"2.153.242.523","BAET",,,"2800","Mechelen","Mechelen","Dellingstraat","Dellingstraat","52","","",
"2.153.242.622","BAET",,,"2800","Mechelen","Mechelen","Oscar Van Kesbeeckstraat","Oscar Van Kesbeeckstraat","2","","",
"2.153.242.721","BAET",,,"3200","Aarschot","Aarschot","Nieuwlandlaan","Nieuwlandlaan","31","","",
"2.153.242.820","BAET",,,"3010","Leuven","Leuven","Lolanden","Lolanden","1","","",
"2.153.242.919","BAET",,,"4000","Liège","Liège","Impasse Jonckeu","Impasse Jonckeu","12","","",
"2.153.243.018","BAET",,,"4040","Herstal","Herstal","Rue Pépin de Herstal","Rue Pépin de Herstal","16","","",
"2.153.243.117","BAET",,,"8310","Brugge","Brugge","Matmeers","Matmeers","2","","",
"2.153.243.315","BAET",,,"8800","Roeselare","Roeselare","Beversesteenweg","Beversesteenweg","189","","",
"2.153.243.612","BAET",,,"8800","Roeselare","Roeselare","Hendrik Consciencestraat","Hendrik Consciencestraat","3-5","","",
"2.153.243.810","BAET",,,"9200","Dendermonde","Dendermonde","Noordlaan (DEN)","Noordlaan (DEN)","25","","",
"2.153.243.909","BAET",,,"9300","Aalst","Aalst","De Ridderstraat","De Ridderstraat","41","","",
"2.153.244.107","BAET",,,"1770","Liedekerke","Liedekerke","Ed. Schelfhoutstraat","Ed. Schelfhoutstraat","232","","",
"2.153.244.206","BAET",,,"9600","Ronse","Ronse","Politiekegevangenenstraat","Rue des Prisonniers-Politiques","14","","",
"2.153.244.305","BAET",,,"8500","Kortrijk","Kortrijk","Tuinstraat(Kor)","Tuinstraat(Kor)","6","","",
"2.153.244.602","BAET",,,"7700","Mouscron","Mouscron","Keizer Karelstraat","Rue Charles-Quint","90","","",
"2.153.245.293","BAET",,,"8900","Ieper","Ieper","Vooruitgangstraat","Vooruitgangstraat","1","","",
"2.153.245.392","BAET",,,"8470","Gistel","Gistel","Nieuwpoortse Steenweg","Nieuwpoortse Steenweg","15","","",
"2.153.245.491","BAET",,,"8400","Oostende","Oostende","Wittenonnenstraat","Wittenonnenstraat","44","","",
"2.153.245.590","BAET",,,"6700","Arlon","Arlon","Place Didier","Place Didier","39","1","",
"2.153.245.689","BAET",,,"7100","La Louvière","La Louvière","Rue Anatole France(L.L)","Rue Anatole France(L.L)","16","","",
"2.153.245.986","BAET",,,"1400","Nivelles","Nivelles","Place Albert-Ier","Place Albert-Ier","3-5","","",
"2.153.246.085","BAET",,,"7800","Ath","Ath","Rue Jean Jaurès","Rue Jean Jaurès","11","","",
"2.153.246.283","BAET",,,"6000","Charleroi","Charleroi","Rue de la Science","Rue de la Science","2","","",
"2.153.246.580","BAET",,,"6041","Charleroi","Charleroi","Rue du Carrosse","Rue du Carrosse","2","","",
"2.153.246.778","BAET",,,"4970","Stavelot","Stavelot","Cour de l'Hôtel de ville","Cour de l'Hôtel de ville","3","","",
"2.153.246.877","BAET",,,"5020","Namur","Namur","Rue Tir de Ronet(FW)","Rue Tir de Ronet(FW)","5","","",
"2.153.247.174","BAET",,,"5580","Rochefort","Rochefort","Rue Joseph-Wauters,Jemelle","Rue Joseph-Wauters,Jemelle","S/N","","",
"2.153.247.273","BAET",,,"6900","Marche-en-Famenne","Marche-en-Famenne","On, Rue Delvigne","On, Rue Delvigne","102","","",
"2.153.247.570","BAET",,,"5580","Rochefort","Rochefort","Rue de l'Antenne,Lessive","Rue de l'Antenne,Lessive","63","","",
"2.153.247.768","BAET",,,"4500","Huy","Huy","Rue du Vieux-Pont","Rue du Vieux-Pont","16","","",
"2.153.248.164","BAET",,,"4800","Verviers","Verviers","Rue Thil Lorrain","Rue Thil Lorrain","6","","",
"2.153.248.263","BAET",,,"9800","Deinze","Deinze","Ommegangstraat","Ommegangstraat","24","","",
"2.153.248.659","BAET",,,"9900","Eeklo","Eeklo","Euerardstraat","Euerardstraat","39","","",
"2.153.248.758","BAET",,,"9080","Lochristi","Lochristi","Dekenijstraat","Dekenijstraat","11","","",
"2.153.249.055","BAET",,,"9230","Wetteren","Wetteren","Stationsplein","Stationsplein","10","","",
"2.153.249.352","BAET",,,"4780","Sankt Vith","Sankt Vith","Malmedyer Strasse","Malmedyer Strasse","22","","",
"2.153.258.458","BAET",,,"2200","Herentals","Herentals","Molenvest(HRT)","Molenvest(HRT)","13","","",
"2.160.609.474","BAET",,,"4700","Eupen","Eupen","Klötzerbahn","Klötzerbahn","24","","",
"2.174.815.917","BAET",,,"3001","Leuven","Leuven","Geldenaaksebaan","Geldenaaksebaan","335","","",
"2.174.823.142","BAET",,,"7000","Mons","Mons","Place des Grands Prés","Place des Grands Prés","1","30","",
"2.174.824.528","BAET",,,"9000","Gent","Gent","Zwijnaardsesteenweg","Zwijnaardsesteenweg","314","","",
"2.177.924.667","BAET",,,"1070","Anderlecht","Anderlecht","Researchdreef","Allée de la Recherche","20","","",
"2.181.462.494","BAET",,,"8750","Wingene","Wingene","Rakestraat","Rakestraat","27A","","",
"2.186.642.096","BAET",,,"6600","Bastogne","Bastogne","Rue du Sablon","Rue du Sablon","125-127","","62GS1A",
"2.186.643.779","BAET",,,"6800","Libramont-Chevigny","Libramont-Chevigny","Libramont,Avenue de Bouillon","Libramont,Avenue de Bouillon","5","","61GS1A",
"2.187.794.913","BAET",,,"8800","Roeselare","Roeselare","Wijnendalestraat","Wijnendalestraat","160","","51ROWA",
"2.209.570.522","BAET",,,"8200","Brugge","Brugge","Koningin Astridlaan","Koningin Astridlaan","97","6","50BKOA",
"2.210.681.072","BAET",,,"6180","Courcelles","Courcelles","Rue de Liège(CO)","Rue de Liège(CO)","70","","71LOGA",
"2.210.681.864","BAET",,,"8630","Veurne","Veurne","Ooststraat","Ooststraat","19","","",
"2.210.722.050","BAET",,,"1030","Brussel","Bruxelles","Koning AlbertII laan","Boulevard du Roi Albert II","27 GLV","","",
"2.210.722.149","BAET",,,"1030","Brussel","Bruxelles","Koning AlbertII laan","Boulevard du Roi Albert II","27",".","Verdieping 28U",
"2.211.072.339","BAET",,,"8560","Wevelgem","Wevelgem","Oostlaan","Oostlaan","6","","56GOOA",
"2.039.108.957","BAET",,,"4800","Verviers","Verviers","Rue Peltzer de Clermont","Rue Peltzer de Clermont","60","","",
"2.006.580.404","BAET",,,"4720","Kelmis","Kelmis","Rue de l'Eglise","Rue de l'Eglise","31","","",
"2.004.189.254","BAET",,,"4031","Liège","Liège","Rue Canal-de-l'Ourthe","Rue Canal-de-l'Ourthe","8","","",
"2.182.180.987","BAET",,,"4180","Hamoir","Hamoir","Hameau de Rennes","Hameau de Rennes","1","","",
"2.182.181.284","BAET",,,"4500","Huy","Huy","Quai de Compiègne","Quai de Compiègne","14-15","","",
"2.182.181.680","BAET",,,"4032","Liège","Liège","Quai des Ardennes","Quai des Ardennes","127","","",
"2.206.355.763","BAET",,,"4000","Liège","Liège","Quai de Maestricht","Quai de Maestricht","14","","",
"2.001.171.663","BAET",,,"4850","PLOMBIERES","PLOMBIERES","Rue de la Clinique","Rue de la Clinique","24","","",
"2.159.816.549","BAET",,,"4850","Plombières","Plombières","Rue de la Clinique","Rue de la Clinique","24","-","",
"2.159.816.945","BAET",,,"4850","Plombières","Plombières","Rue du Calvaire","Rue du Calvaire","1","","",
"2.159.817.242","BAET",,,"4880","Aubel","Aubel","Rue de la Kan","Rue de la Kan","79","","",
"2.158.812.204","BAET",,,"7500","Tournai","Tournai","Rue du Viaduc(TOU)","Rue du Viaduc(TOU)","52","","",
"2.158.813.687","BAET",,,"7600","Péruwelz","Péruwelz","Rue de la Verte Chasse(PER)","Rue de la Verte Chasse(PER)","7","","",
"2.160.263.343","BAET",,,"5640","Mettet","Mettet","Rue de la Marchauderie, Biesme","Rue de la Marchauderie, Biesme","7","A","",
"2.160.263.541","BAET",,,"5070","Fosses-la-Ville","Fosses-la-Ville","Rue Sainte-Brigide","Rue Sainte-Brigide","43","","",
"2.166.131.744","BAET",,,"5060","Sambreville","Sambreville","Rue de l'Abattoir(TAM)","Rue de l'Abattoir(TAM)","9","","",
"2.160.519.996","BAET",,,"5640","Mettet","Mettet","Rue Estroit","Rue Estroit","39","","",
"2.164.080.886","BAET",,,"5020","Namur","Namur","Rue Fernand Marchand(FW)","Rue Fernand Marchand(FW)","44","","",
"2.172.249.969","BAET",,,"1040","Etterbeek","Etterbeek","Trierstraat","Rue de Trèves","82","","",
"2.159.997.483","BAET",,,"1000","Brussel","Bruxelles","Keizerinlaan","Boulevard de l'Impératrice","17-19","","",
"2.159.997.582","BAET",,,"1040","Brussel","Bruxelles","Linthoutstraat","Rue de Linthout","41","","",
"2.159.997.780","BAET",,,"1070","Brussel","Bruxelles","Birminghamstraat","Rue de Birmingham","120","","",
"2.159.997.978","BAET",,,"1180","Ukkel","Uccle","Sint-Jobsesteenweg","Chaussée de Saint-Job","516","","",
"2.159.998.176","BAET",,,"1180","Ukkel","Uccle","Waterloosesteenweg","Chaussée de Waterloo","764","","",
"2.159.998.572","BAET",,,"1420","Braine-l'Alleud","Braine-l'Alleud","Chemin des Eglantiers","Chemin des Eglantiers","3","","",
"2.159.998.968","BAET",,,"5170","Profondeville","Profondeville","Rue Rochers de Frène(LU)","Rue Rochers de Frène(LU)","*","","",
"2.159.999.166","BAET",,,"5003","Namur","Namur","Al'Tchôde Ewe(SM)","Al'Tchôde Ewe(SM)","15","","",
"2.159.999.562","BAET",,,"5140","Sombreffe","Sombreffe","Rue Emile Vandervelde","Rue Emile Vandervelde","2","","",
"2.159.999.661","BAET",,,"5530","Yvoir","Yvoir","Rue des Carrières, Spontin","Rue des Carrières, Spontin","7","","",
"2.160.299.767","BAET",,,"4500","Huy","Huy","Avenue de Beaufort","Avenue de Beaufort","7","","",
"2.160.300.361","BAET",,,"7021","Mons","Mons","Rue des Cheminots","Rue des Cheminots","22","","",
"2.160.301.450","BAET",,,"7190","Ecaussinnes","Ecaussinnes","Rue de l'Avedelle","Rue de l'Avedelle","2","","",
"2.160.301.945","BAET",,,"7190","Ecaussinnes","Ecaussinnes","Chemin du Long Spinois","Chemin du Long Spinois","1","","",
"2.160.302.242","BAET",,,"1180","Ukkel","Uccle","Wilderoselaarslaan","Avenue des Eglantiers","43","","",
"2.160.302.836","BAET",,,"1180","Ukkel","Uccle","Vergaarbakweg","Chemin du Réservoir","1","","",
"2.160.315.011","BAET",,,"5530","Yvoir","Yvoir","Avenue de Champalle","Avenue de Champalle","/","","",
"2.160.315.803","BAET",,,"1472","Genappe","Genappe","Moulin Tas","Moulin Tas","22","","",
"2.160.316.494","BAET",,,"1428","Braine-l'Alleud","Braine-l'Alleud","Ch.Maison du Roi","Ch.Maison du Roi","184","","",
"2.160.316.692","BAET",,,"7070","Le Roeulx","Le Roeulx","Rue des Ecaussinnes(R)","Rue des Ecaussinnes(R)","12","","",
"2.160.317.484","BAET",,,"5170","Profondeville","Profondeville","Rue Georges Marchal(B.V.)","Rue Georges Marchal(B.V.)","10","","",
"2.160.317.979","BAET",,,"5032","Gembloux","Gembloux","Chaussée de Nivelles, Bothey","Chaussée de Nivelles, Bothey","69","","",
"2.160.318.177","BAET",,,"5300","Andenne","Andenne","Beau Boing","Beau Boing","547","B","",
"2.160.318.573","BAET",,,"5020","Namur","Namur","Rue du Bas-Daussoulx(DX)","Rue du Bas-Daussoulx(DX)","/","","",
"2.160.318.771","BAET",,,"1050","Elsene","Ixelles","Kloosterstraat","Rue du Couvent","2","","",
"2.160.319.860","BAET",,,"1040","Etterbeek","Etterbeek","Generaal Lemanstraat","Rue Général Leman","44","","",
"2.160.320.553","BAET",,,"1020","Brussel","Bruxelles","Rode Kruislaan","Avenue de la Croix-Rouge","81","","",
"2.160.321.048","BAET",,,"5170","Profondeville","Profondeville","Chemin des Mésanges","Chemin des Mésanges","/","","",
"2.160.321.147","BAET",,,"1640","Sint-Genesius-Rode","Sint-Genesius-Rode","Brassinelaan","Avenue Brassine","/","","",
"2.160.321.444","BAET",,,"1640","Sint-Genesius-Rode","Sint-Genesius-Rode","Grote Hutsesteenweg","Chaussée de la Grande Espinette","/","","",
"2.160.322.335","BAET",,,"1070","Anderlecht","Anderlecht","Bollinckxstraat","Rue Bollinckx","319-325","","",
"2.160.322.731","BAET",,,"1200","Sint-Lambrechts-Woluwe","Woluwe-Saint-Lambert","Driesstraat","Rue Dries","34","","",
"2.160.323.424","BAET",,,"1190","Vorst","Forest","Lusambostraat","Rue de Lusambo","21-23","","",
"2.160.323.721","BAET",,,"1600","Sint-Pieters-Leeuw","Sint-Pieters-Leeuw","Alsembergsesteenweg","Alsembergsesteenweg","5-7","","",
"2.160.323.820","BAET",,,"1930","Zaventem","Zaventem","J.B. Devlemincklaan","J.B. Devlemincklaan","59","","",
"2.160.323.919","BAET",,,"7011","Mons","Mons","Rue de l'Aulnoye (G.)","Rue de l'Aulnoye (G.)","24","","",
"2.160.324.018","BAET",,,"1420","Braine-l'Alleud","Braine-l'Alleud","Av Alph Allard","Av Alph Allard","288","","",
"2.161.098.434","BAET",,,"4577","Modave","Modave","Rouche aux Corbeaux","Rouche aux Corbeaux","-","","",
"2.161.100.414","BAET",,,"1472","Genappe","Genappe","Rue du Jeune Piou","Rue du Jeune Piou","-","","",
"2.161.439.419","BAET",,,"5380","Fernelmont","Fernelmont","Rue de Bierwart, Forv.","Rue de Bierwart, Forv.","-","","",
"2.160.284.129","BAET",,,"1000","Brussel","Bruxelles","Maalbeeklaan","Avenue du Maelbeek","3","","",
"2.104.471.814","BAET",,,"1000","Brussel","Bruxelles","de Berlaimontlaan","Boulevard de Berlaimont","14","","",
"2.104.472.903","BAET",,,"3500","Hasselt","Hasselt","Eurostraat","Eurostraat","4","","",
"2.104.473.002","BAET",,,"8500","Kortrijk","Kortrijk","President Kennedypark(Kor)","President Kennedypark(Kor)","43","","",
"2.104.473.495","BAET",,,"4000","Liège","Liège","Place Saint-Paul","Place Saint-Paul","14","","",
"2.104.473.792","BAET",,,"7000","Mons","Mons","Avenue Frère Orban","Avenue Frère Orban","26","","",
"2.128.041.626","BAET",,,"1000","Brussel","Bruxelles","Bankstraat","Rue de la Banque","7","","",
"2.072.525.457","BAET",,,"1040","Brussel","Bruxelles","Wetstraat","Rue de la Loi","42","","",
